2017-06-28 11:50:37,051 [Dummy-1:123145363206144] [django.db.backends:90] [utils:execute] [DEBUG]- (0.018) SELECT @@SQL_AUTO_IS_NULL; args=None
2017-06-28 11:50:37,070 [Dummy-1:123145363206144] [django.db.backends:90] [utils:execute] [DEBUG]- (0.017) SELECT VERSION(); args=None
2017-06-28 11:50:42,214 [Dummy-1:123145363206144] [django.db.backends:90] [utils:execute] [DEBUG]- (0.017) SHOW FULL TABLES; args=None
2017-06-28 11:50:42,233 [Dummy-1:123145363206144] [django.db.backends:90] [utils:execute] [DEBUG]- (0.015) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-06-28 12:07:13,883 [Dummy-1:123145437216768] [django.db.backends:90] [utils:execute] [DEBUG]- (0.018) SELECT @@SQL_AUTO_IS_NULL; args=None
2017-06-28 12:07:13,903 [Dummy-1:123145437216768] [django.db.backends:90] [utils:execute] [DEBUG]- (0.018) SELECT VERSION(); args=None
2017-06-28 12:07:17,934 [Dummy-1:123145437216768] [django.db.backends:90] [utils:execute] [DEBUG]- (0.017) SHOW FULL TABLES; args=None
2017-06-28 12:07:17,966 [Dummy-1:123145437216768] [django.db.backends:90] [utils:execute] [DEBUG]- (0.025) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-06-28 12:07:28,226 [Thread-2:123145442471936] [django.db.backends:90] [utils:execute] [DEBUG]- (0.030) SELECT @@SQL_AUTO_IS_NULL; args=None
2017-06-28 12:07:28,321 [Thread-2:123145442471936] [django.db.backends:90] [utils:execute] [DEBUG]- (0.094) SELECT `cryapp_cryorder`.`id`, `cryapp_cryorder`.`GoodId_id`, `cryapp_cryorder`.`ShopId_id`, `cryapp_cryorder`.`Userid_id`, `cryapp_cryorder`.`buyerid_id`, `cryapp_cryorder`.`Money`, `cryapp_cryorder`.`Express`, `cryapp_cryorder`.`sellerMoney`, `cryapp_cryorder`.`buyerMoney`, `cryapp_cryorder`.`Keywords`, `cryapp_cryorder`.`platform`, `cryapp_cryorder`.`OrderSort`, `cryapp_cryorder`.`PlatformOrdersid`, `cryapp_cryorder`.`Status`, `cryapp_cryorder`.`StartTime`, `cryapp_cryorder`.`EndTime`, `cryapp_cryorder`.`AddTime`, `cryapp_cryorder`.`Note` FROM `cryapp_cryorder`; args=()
2017-06-28 12:07:28,358 [Thread-2:123145442471936] [django.db.backends:90] [utils:execute] [DEBUG]- (0.030) SELECT VERSION(); args=None
